Property,URL,Fields Count,Source Breakdown,building_name,building_address,city,country,postal_code,description,price_min,price_max,currency,cover_image,images,key_amenities,unit_types_summary,total_units,number_of_floors,elevator_available,application_link,application_method,lease_type,rental_method,furnished_options,in_unit_washer_dryer,ac_heating_type,bed_included,utilities_included,floor_plans,primary_contact_phone,shuttle_service
stuytown-pcv,https://www.stuytown.com/,14,JLD=0 OG=4 CSS=3 Geo=0 LLM=7,Stuytown [medium],"LEASING OFFICE252 First Avenue, New York, NY 10009833.203.6960Mon - Sat: 10 am - 6 pmSun: 10 am - 5 pmleasing@stuytow..." [medium],New York [high],United States [high],10009 [high],StuyTown’s unique community gives residents the comfort and joys of suburbia while living in the big city. Even thoug... [medium],,,,https://uxp-pd-cms-gmfqdagrdcdrd0gk.a02.azurefd.net/media/f3lfyeoj/pcvst_grounds_oval_016_hero4.jpeg [medium],"[""https://uxp-pd-cms-gmfqdagrdcdrd0gk.a02.azurefd.net/media/f3lfyeoj/pcvst_grounds_oval_016_hero4.jpeg""]" [low],"[""Gym"",""Parking"",""Study Room""]" [medium],"Studio, 1BR, 2BR, 3BR, 4BR, 5BR" [medium],,,,https://www.stuytown.com/nyc-apartments-for-rent [medium],"[""Online""]" [medium],,,,,,,,,833.203.6960 [medium],
terra-lic,https://www.terralic.com/,0,JLD=0 OG=0 CSS=0 Geo=0 LLM=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-axel,https://the-axel.com/,15,JLD=9 OG=0 CSS=1 Geo=0 LLM=5,The Axel [high],545 Vanderbilt Ave [high],Brooklyn [high],USA [high],11238 [high],"From its perch at the intersection of three legendary Brooklyn neighborhoods, The Axel twists toward the sky and beck..." [medium],,,,https://the-axel.com/images/logo-new.svg [high],"[""https://the-axel.com/images/logo-new.svg""]" [high],"[""Gym"",""Pool"",""Rooftop""]" [medium],Studio to 3 Bedrooms [medium],,30 [medium],,https://the-axel.com/ [medium],,,,,true [medium],,,,,718 690 2935 [high],
the-bexley,https://www.livebexley.com/,10,JLD=3 OG=0 CSS=2 Geo=0 LLM=5,Home - The Bexley [high],"1300 CLINTON STREET, HOBOKEN, NEW JERSEY 07030" [medium],Hoboken [high],United States [high],07030 [high],Just another WordPress site [high],,,,https://www.livebexley.com/wp-content/themes/bexley/images/icons/the-bexley-logo.svg [medium],,,,,,,https://www.livebexley.com/ [medium],"[""Online""]" [medium],,,,,,,,,833-516-0176 [medium],
the-biltmore-ny,https://thebiltmoreny.com/,11,JLD=0 OG=4 CSS=2 Geo=0 LLM=5,"The Biltmore is a pet-friendly apartment community in New York, NY" [medium],"271 W 47th StreetNew York, NY 10036" [medium],New York [high],United States [high],10036 [high],"City living has turned luxe lifestyle with newly renovated studio, one- and two-bedroom apartments in the heart of Ma..." [medium],,,,https://thebiltmoreny.com/assets/images/cache/opengraph_the_biltmore_2072-9cc8ebb933bf1c7b4603c6b57acdba88.jpg [medium],"[""https://thebiltmoreny.com/assets/images/cache/opengraph_the_biltmore_2072-9cc8ebb933bf1c7b4603c6b57acdba88.jpg""]" [low],"[""Pet Friendly""]" [medium],"Studio, 1BR, 2BR" [medium],,,,,,,,,,,,,,3322309838 [medium],
the-brook-bk,https://brookbk.com/,14,JLD=7 OG=2 CSS=2 Geo=1 LLM=2,The Brook [high],567 Fulton St [high],Brooklyn [high],United States [high],11201 [high],Beautifully-designed studio to two-bedroom rental homes in the heart of Downtown Brooklyn. [high],,,USD [medium],https://brookbk.com/images/share-image.jpg [medium],"[""https://brookbk.com/images/share-image.jpg""]" [low],"[""Pool"",""Game Room""]" [medium],Studio to two-bedroom [medium],,,,https://brookbk.com [medium],,,,,,,,,,718 400 0567 [medium],
the-collective-london,https://www.thecollective.com/,16,JLD=0 OG=0 CSS=4 Geo=0 LLM=12,The Collective [high],VervLife The Innovation Centre Hornbeam Park Harrogate HG2 8QT North Yorkshire VervLife [medium],Harrogate [high],United Kingdom [high],HG2 8QT [medium],"Discover a better way of living. Enjoy your own studio apartment, share extraordinary living and working spaces and c..." [medium],1023 [low],,,https://assets-us-01.kc-usercontent.com:443/9a170b3a-a06f-006a-7810-f1c91cdd7d0b/e0de3b5d-47de-4405-ba74-8fcdf5684b43... [medium],"[""https://assets-us-01.kc-usercontent.com:443/9a170b3a-a06f-006a-7810-f1c91cdd7d0b/011b9059-60e5-434a-9b5a-497171bd2a..." [medium],"[""Gym"",""Laundry"",""WiFi"",""Game Room""]" [medium],Studio [medium],,,,/locations/old-oak [low],"[""Online""]" [medium],Both [medium],Per Unit [medium],,,,,All inclusive bill [medium],,,
the-devan,https://thedevan.com/,10,JLD=5 OG=0 CSS=1 Geo=0 LLM=4,The Devan | Apartments in Jersey City [high],,Jersey City [high],,,"With distinguished design, state-of-the-art amenities, and modern residences, the Devan brings a new level of luxury ..." [high],,,,[object Object] [high],"[{""@id"":""https://thedevan.com/#primaryimage""}]" [high],"[""Gym"",""Pool"",""Rooftop""]" [medium],"Studio, 1BR, 2BR, 3BR" [medium],,,,https://thedevan.com/ [medium],"[""Online""]" [medium],,,,,,,,,2018903030 [medium],
the-enclave-jc,https://www.theenclavejc.com/,14,JLD=10 OG=0 CSS=0 Geo=0 LLM=4,The Enclave [high],675 Monmouth Street [high],Jersey City [high],US [high],07310 [high],"<h2 class=""text-white pb-2"">Luxury Apartments in Jersey City, NJ</h2>
<p>Luxury finds its finest expression at The En..." [high],,,,"https://resource.rentcafe.com/image/upload/q_auto,f_auto/s3/2/70799/bne-the enclave-amenities-2.jpg" [high],"[""https://resource.rentcafe.com/image/upload/q_auto,f_auto/s3/2/70799/bne-the enclave-amenities-2.jpg""]" [high],"[""Gym"",""Pool"",""Laundry"",""Rooftop"",""Game Room""]" [medium],"Studio, 1BR, 2BR" [medium],,,,https://www.theenclavejc.com/ [medium],"[""Online""]" [medium],,,,true [medium],,,,,(201) 798-6750 [high],
the-hendrix-jc,https://thehendrixjc.com/,11,JLD=0 OG=4 CSS=2 Geo=0 LLM=5,The Hendrix | Jersey City Luxury Rentals | Studio - 3 Bedroom Residences [medium],180 Morgan Street [high],Jersey City [high],United States [high],,"Culture, arts, & amenities moments from the PATH. An original lifestyle experience with spacious interiors and incred..." [medium],,,,https://www.thehendrixjc.com/images/CA1_5482.webp [medium],"[""https://www.thehendrixjc.com/images/CA1_5482.webp""]" [low],,Studio - 3 Bedroom Residences [medium],,,,https://thehendrixjc.arch.app/apply/new-application [medium],"[""Online""]" [medium],,,,,,,,,201.516.1800 [medium],
the-max-606w57,https://tfc.com/residential/606w57/new-york-luxury-no-fee-apartments,29,JLD=0 OG=4 CSS=3 Geo=0 LLM=22,The Max | Midtown West | No Fee Apartments and Office Spaces and Retail [medium],606 W 57th St [high],New York [high],United States [high],NY [medium],"The Max at 606 West 57th St offers modern rentals with luxury amenities including a full-sized basketball court, a st..." [medium],3415 [low],7205 [low],USD [high],https://tfc.com/img/tfc-logo-200x200.jpg [medium],"[""https://tfc.com/img/tfc-logo-200x200.jpg""]" [low],"[""Gym"",""Laundry"",""Parking"",""Rooftop"",""Pet Friendly"",""Bike Storage"",""Game Room"",""WiFi"",""Security""]" [medium],"Studio, 1BR, 2BR, 3BR" [medium],1028 [medium],44 [medium],true [medium],https://apply.tfc.com [medium],"[""Online""]" [medium],Both [medium],Per Unit [medium],Furnished options not specified [medium],true [medium],Other [medium],No [medium],WiFi [medium],"Studio, 1-bedroom, 2-bedroom, 3-bedroom with features like private terraces, floor-to-ceiling windows, walk-in closet..." [medium],212-672-2100 [medium],true [medium]
unite-students,https://www.unitestudents.com/,19,JLD=6 OG=0 CSS=2 Geo=0 LLM=11,Unite Students [high],"The Unite Group plc
1st Floor, Welcome Building
Avon Street" [high],Bristol [high],GB [high],BS2 0PS [high],Student Accommodation & Housing Across the UK [medium],156 [low],340 [low],GBP [high],"https://www.storylink.us/cdn-cgi/image/w=3840,q=90,f=webp/https://us-cdn.storylink.us/66fe2618-056a-4ef4-968b-b86dc0a..." [medium],"[""https://www.storylink.us/cdn-cgi/image/w=3840,q=90,f=webp/https://us-cdn.storylink.us/ffe1795c-22d2-4b46-b4cc-2d6b4..." [medium],"[""Gym"",""Laundry"",""Study Room"",""Game Room"",""Security""]" [medium],"Rooms, studios" [medium],150 [medium],,,https://www.unitestudents.com [medium],"[""Online""]" [medium],Individual [medium],Per Bedroom [medium],,,,,All bills included [medium],,,
vista-65,https://vista65.com/,16,JLD=2 OG=1 CSS=3 Geo=0 LLM=10,Vista65 [medium],97-12 65TH ROAD [high],Rego Park [high],United States [high],11374 [high],"Rising 22 stories over the prime nexus of Forest Hills and Rego Park, Vista65 is reshaping the skyline of this quinte..." [medium],2500 [low],4500 [low],USD [high],//via.placeholder.com/1 [low],"[""//via.placeholder.com/1""]" [high],"[""Gym"",""Parking"",""Bike Storage""]" [medium],"Studio, 1-bedroom, 2-bedroom" [medium],,22 [medium],,https://vista65.weblium.site/application [medium],"[""Online""]" [medium],,,,,,,,,,
waterline-square,https://www.windsorcommunities.com/properties/waterline-square/,8,JLD=0 OG=0 CSS=4 Geo=0 LLM=4,Waterline Square by Windsor [high],Get Directions [medium],Manhattan [high],United States [high],,Luxury Apartments on Manhattan's Waterfront [medium],,,,,,"[""Pool"",""Study Room"",""Game Room"",""Security"",""WiFi""]" [high],,,,,,,,,,,,,,,+13323785418 [medium],
